DTC,Description
B1030,EVAPORATOR TEMPERATURE SENSOR
B1058,RECIRCULATION DOOR CONTROL
B105C,RECIRCULATION DOOR TRAVEL RANGE TOO SMALL
B105D,RECIRCULATION DOOR TRAVEL RANGE TOO LARGE
B106A,REAR DEFROST-EBL
B10B2,A/C COOL DOWN TEST PERFORMANCE
B10E8,BLOWER MOTOR CONTROL
B10EB,BLOWER POWER MODULE
B1107,CABIN TEMPERATURE SENSOR 1
B11C2,FRONT MODE DOOR 1 CONTROL
B11C3,FRONT MODE DOOR 1 TRAVEL RANGE TOO SMALL
B11C4,FRONT MODE DOOR 1 TRAVEL RANGE TOO LARGE
B11C8,RIGHT TEMPERATURE DOOR CONTROL
B11C9,RIGHT TEMPERATURE DOOR TRAVEL TOO SMALL
B11CA,RIGHT TEMPERATURE DOOR TRAVEL TOO LARGE
B11CB,MAIN LEFT TEMPERATURE DOOR 1 CONTROL
B11CC,MAIN/LEFT TEMPERATURE DOOR TRAVEL TOO SMALL
B11CD,MAIN/LEFT TEMPERATURE DOOR TRAVEL TOO LARGE
B11D3,A-C COOLDOWN TEST PERFORMANCE CO
B11D5,A-CCOOLDOWN TEST PERFORMANCE EV
B11F0,LEFT FLOOR DUCT TEMPERATURE SENSOR
B11F1,RIGHT FLOOR DUCT TEMPERATURE SENSOR
B11F2,LEFT PANEL DUCT TEMPERATURE SENSOR
B11F3,RIGHT PANEL DUCT TEMPERATURE SENSOR
B11FE,VARIABLE A-C COMPRESSOR CONTROL
B1208,ANTI-THEFT INDICATOR
B1285,PARK ASSIST PTS SWITCH
B128E,PTS SENSOR 1
B128F,PTS SENSOR 2
B1290,PTS SENSOR 3
B1291,PTS SENSOR 4
B1292,PTS SENSOR 5
B1293,PTS SENSOR 6
B1294,PTS SENSOR 7
B1295,PTS SENSOR 8
B1296,PTS SENSOR 9
B1297,PTS SENSOR 10
B1298,PTS SENSOR 11
B1299,PTS SENSOR 12
B12AB,CHARGE INDICATOR LED 1
B12AC,CHARGE INDICATOR LED 2
B12AD,CHARGE INDICATOR LED 3
B12AE,CHARGE INDICATOR LED 4
B12AF,CHARGE INDICATOR LED 5
B12B0,CHARGE TEMPERATURE INDICATOR
B12B2,PARALLEL PERPENDICULAR PARK ASSIST SWITCH
B1600,LEFT SOLAR SENSOR
B1603,RIGHT SOLAR SENSOR
B1609,PANEL DIMMER INPUT
B160F,TWILIGHT/AMBIENT LIGHT SENSOR INPUT
B161E,READING LAMP CONTROL
B162A,LEFT LOW BEAM CONTROL
B162E,RIGHT LOW BEAM CONTROL
B1632,LEFT HIGH BEAM CONTROL
B1636,RIGHT HIGH BEAM CONTROL
B163A,FRONT LEFT TURN LAMP CONTROL
B163E,FRONT RIGHT TURN LAMP CONTROL
B1642,REAR LEFT TURN LAMP CONTROL
B1646,REAR RIGHT TURN LAMP CONTROL
B168E,FRONT FOG LAMP SWITCH
B16AB,TRUNK LAMP CONTROL
B16AF,LEFT STOP LAMP CONTROL
B16B3,RIGHT STOP LAMP CONTROL
B16B7,CENTER STOP LAMP CONTROL
B16BF,FRONT LEFT SIDEMARKER LAMP CONTROL
B16C3,FRONT RIGHT SIDEMARKER LAMP CONTROL
B16CF,LEFT DRL LAMP CONTROL
B16D3,RIGHT DRL LAMP CONTROL
B16D7,LEFT TAILLAMP 1 CONTROL
B16DF,RIGHT TAILLAMP 1 CONTROL
B16E7,LICENSE PLATE LAMP CONTROL
B16EF,LEFT PARK LAMP 1 CONTROL
B16F3,RIGHT PARK LAMP 1 CONTROL
B16F7,FRONT LEFT FOG LAMP CONTROL
B16FB,FRONT RIGHT FOG LAMP CONTROL
B16FF,REAR LEFT FOG LAMP CONTROL
B1703,REAR RIGHT FOG LAMP CONTROL
B1707,LEFT REVERSE LAMP CONTROL
B170B,RIGHT REVERSE LAMP CONTROL
B1751,COURTESY LAMP CONTROL
B1783,STOP LAMP CONTROL
B178E,HEADLAMP SWITCH INPUT
B1792,LEFT REAR LAMP DIAGNOSTIC LINE
B1793,RIGHT REAR LAMP DIAGNOSTIC LINE
B17A0,REAR FOG LAMP SWITCH CIRCUIT STUCK
B17A5,HALO LAMPS CONTROL
B17AD,REAR LEFT TRAILER TURN LAMP CONTROL
B17B1,REAR RIGHT TRAILER TURN LAMP CONTROL
B17C5,TRAILER TOW REVERSE LAMP CONTROL
B17F6,TRAILER TAILLAMP CONTROL
B17FF,AMBIENT CABIN LIGHT DIMMER SWITCH
B180F,DRIVER DOOR AJAR
B1810,DRIVER DOOR AJAR INPUT CIRCUIT LOW
B1811,DRIVER DOOR AJAR INPUT CIRCUIT HIGH
B1812,PASSENGER DOOR AJAR
B181E,HOOD AJAR INPUT
B1825,TRUNK RELEASE SWITCH INPUT
B182C,ALL DOOR LOCK CONTROL
B1830,ALL DOORS UNLOCK CONTROL
